HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Minimum Submitted Charge Amount,Maximum Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Allowed Amount,Minimum Medicare Allowed Amount,Maximum Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Medicare Payment Amount,Minimum Medicare Payment Amount,Maximum Medicare Payment Amount,Standard Deviation of Medicare Payment Amount
22800,"Fusion of spine bones for correction of deformity, posterior approach, up to 6 vertebral segments",N,F,501,1149,1128,1145,4432.34,154.64,36750.00,3257.58,642.40,81.35,1670.95,427.20,509.08,0.00,1336.76,341.47
22802,"Fusion of spine bones for correction of deformity, posterior approach, 7 to 12 vertebral segments",N,F,686,1604,1563,1601,6830.93,225.95,44000.00,4744.51,1309.90,132.88,2617.93,759.97,1032.63,0.00,2094.34,604.40
22804,"Fusion of spine bones for correction of deformity, posterior approach, 13 or more vertebral segments",N,F,254,482,478,479,8026.55,209.00,45705.00,5016.11,1628.10,209.00,3003.17,862.73,1277.50,0.00,2402.54,693.26
22808,"Fusion of spine bones for correction of deformity, anterior approach, 2 to 3 vertebral segments",N,F,188,432,428,431,5805.63,370.00,37338.00,4345.63,1027.14,113.79,2316.75,578.71,816.67,91.03,1853.40,460.27
22810,"Fusion of spine bones for correction of deformity, anterior approach, 4 to 7 vertebral segments",N,F,133,237,235,235,6661.50,1.00,30298.00,4116.57,1316.50,1.00,2534.85,708.33,1035.16,0.00,2027.88,563.48
22812,"Fusion of spine bones for correction of deformity, anterior approach, 8 or more vertebral segments",N,F,26,28,28,28,5797.76,630.00,13625.00,3551.02,1332.76,250.71,2327.45,880.25,1066.21,200.57,1861.96,704.20
22818,"Fusion of spine bones for correction of hunchback deformity, single or 2 segments",N,F,42,49,49,49,6795.70,369.55,15988.50,3797.28,1379.20,133.87,2418.98,824.36,1103.36,107.10,1935.18,659.49
22830,Exploration of spinal fusion,N,F,3320,11687,11261,11553,3359.32,51.56,49400.00,3813.32,311.33,48.61,994.02,190.09,245.75,0.00,795.22,150.90
22830,Exploration of spinal fusion,N,O,21,21,21,21,2546.64,425.00,10033.00,2429.79,301.33,50.72,794.85,209.14,241.07,40.58,635.88,167.31
22840,"Insertion of spinal instrumentation at base of neck for stabilization, 1 interspace",N,F,7372,53409,52615,52864,2890.56,57.42,27192.00,2259.87,518.46,57.42,999.96,303.17,410.58,0.00,799.97,240.51
22840,"Insertion of spinal instrumentation at base of neck for stabilization, 1 interspace",N,O,82,98,97,97,3131.35,125.00,16611.00,2609.10,545.37,92.82,891.59,309.23,436.30,74.26,713.27,247.38
22842,"Insertion of posterior spinal instrumentation for spinal stabilization, 3 to 6 vertebral segments",N,F,7925,68339,67292,67954,3308.08,61.21,36000.00,2654.07,530.18,61.21,998.56,300.65,420.01,0.00,798.85,238.59
22842,"Insertion of posterior spinal instrumentation for spinal stabilization, 3 to 6 vertebral segments",N,O,85,96,96,96,3457.03,344.00,12035.00,2538.10,538.70,93.04,924.29,325.40,425.02,74.43,739.43,260.77
22843,"Insertion of posterior spinal instrumentation for spinal stabilization, 7 to 12 vertebral segments",N,F,2726,7716,7543,7680,3557.69,10.00,30926.00,2898.35,581.73,10.00,1051.48,308.19,460.84,0.00,841.18,245.48
22843,"Insertion of posterior spinal instrumentation for spinal stabilization, 7 to 12 vertebral segments",N,O,14,14,14,14,4441.86,800.00,8281.00,2573.50,608.02,103.12,908.50,310.08,486.42,82.50,726.80,248.07
22844,"Insertion of posterior spinal instrumentation for spinal stabilization, 13 or more vertebral segments",N,F,490,1007,987,1001,3915.94,150.28,25000.00,3096.43,655.89,119.09,1235.02,377.29,516.72,0.00,988.02,303.02
22845,"Insertion of anterior spinal instrumentation for spinal stabilization, 2 to 3 vertebral segments",N,F,8095,52604,51809,52134,3043.30,58.65,24700.00,2417.71,507.73,58.65,984.19,288.85,399.83,0.00,787.35,228.17
22845,"Insertion of anterior spinal instrumentation for spinal stabilization, 2 to 3 vertebral segments",N,O,84,104,104,104,2814.33,103.00,15344.00,2254.54,553.18,88.99,861.75,274.83,438.59,71.19,689.40,220.93
22846,"Insertion of anterior spinal instrumentation for spinal stabilization, 4 to 7 vertebral segments",N,F,3970,11891,11778,11835,3180.18,72.15,24500.00,2463.47,519.83,70.62,1019.35,307.27,411.14,0.00,815.48,244.19
22846,"Insertion of anterior spinal instrumentation for spinal stabilization, 4 to 7 vertebral segments",N,O,14,15,15,15,2696.33,408.00,10000.00,2245.89,588.96,92.38,899.11,298.85,434.35,0.00,719.29,264.88
22847,"Insertion of anterior spinal instrumentation for spinal stabilization, 8 or more vertebral segments",N,F,122,143,139,140,3409.18,121.45,16624.00,3076.56,594.87,105.07,1212.75,364.25,470.96,0.00,970.20,293.44
22848,Insertion of instrumentation to pelvic bones,N,F,1159,3990,3951,3978,1405.54,49.41,14195.00,1247.76,246.93,34.92,455.86,136.09,195.41,0.00,364.69,108.55
22849,Reinsertion of spinal fixation device,N,F,2603,6552,6285,6477,3692.26,75.00,37000.00,2723.61,523.83,35.79,1652.99,325.95,413.55,0.00,1322.39,259.45
22849,Reinsertion of spinal fixation device,N,O,12,14,14,14,3898.08,840.00,11989.00,3124.59,390.07,81.81,863.06,303.04,307.19,0.00,690.45,247.89
22850,Removal of spinal instrumentation,N,F,2175,4428,4325,4375,2055.15,48.26,18600.00,1578.60,294.42,29.68,882.24,197.18,231.47,0.00,705.79,156.01
22851,Insertion of spinal instrumentation for spinal stabilization,N,F,8400,173207,109752,111821,1586.86,32.61,20000.00,1326.17,276.25,32.61,537.22,162.16,218.31,0.00,429.78,128.32
22851,Insertion of spinal instrumentation for spinal stabilization,N,O,156,291,200,202,1669.33,57.00,11000.00,1693.18,297.68,49.67,496.22,163.37,234.07,0.00,396.98,133.41
22852,Removal of spinal instrumentation,N,F,3354,8870,8616,8752,2157.87,44.95,18200.00,1594.11,294.20,41.38,857.66,187.96,231.24,0.00,686.13,148.93
22852,Removal of spinal instrumentation,N,O,22,22,22,22,1778.18,354.25,4896.00,1183.53,373.06,46.49,729.02,236.68,298.45,37.19,583.22,189.35
22855,Removal of spinal instrumentation,N,F,2215,3755,3700,3719,3117.48,0.01,35572.50,2566.74,440.42,0.01,1356.54,283.44,345.35,0.00,1085.23,226.21
22856,Insertion of artificial spine disc,N,F,104,145,140,140,7288.26,264.41,39576.00,6810.73,1052.92,99.97,1997.10,636.75,822.79,0.00,1597.68,510.81
22857,Insertion of artificial spine disc,N,F,13,13,13,13,8355.77,700.00,25000.00,6944.96,896.35,1.00,1634.94,435.98,717.08,0.80,1307.95,348.78
22864,Revision of artificial upper spine disc,N,F,13,13,13,13,6681.28,1039.80,17000.00,4704.39,1182.49,240.82,1969.73,746.22,945.99,192.66,1575.78,596.97
22899,Spine procedure,N,F,439,957,767,779,4214.78,50.00,45000.00,4509.35,612.66,9.30,3198.28,474.10,487.23,0.00,2558.62,380.25
22899,Spine procedure,N,O,21,31,26,28,1512.48,155.00,10000.00,2281.73,668.39,50.94,7010.94,1703.52,531.95,40.75,5608.75,1363.71
22900,Removal (less than 5 centimeters) muscle growth in abdominal wall,N,F,969,1237,1159,1168,1531.76,125.00,17934.00,1452.49,451.51,33.23,1225.63,195.65,355.33,0.00,980.50,158.20
22900,Removal (less than 5 centimeters) muscle growth in abdominal wall,N,O,78,101,84,95,1114.12,45.00,4815.00,767.28,495.57,45.00,631.35,94.99,392.36,0.00,505.08,90.19
22901,Removal (5 centimeters or greater) muscle growth in abdominal wall,N,F,609,674,660,665,1863.40,2.53,15277.60,1466.74,548.60,2.53,1263.13,230.13,435.62,0.00,1010.50,185.33
22901,Removal (5 centimeters or greater) muscle growth in abdominal wall,N,O,19,19,19,19,1450.32,628.87,2033.00,408.89,620.62,319.09,761.73,130.50,447.12,0.00,609.38,175.43
22902,Removal (less than 3 centimeters) tissue growth in abdominal wall,N,F,899,1219,976,981,1352.71,66.00,15528.00,1311.98,266.78,20.28,923.34,144.08,209.64,16.22,738.67,113.64
22902,Removal (less than 3 centimeters) tissue growth in abdominal wall,N,O,200,249,228,233,962.70,250.00,5408.00,526.58,388.48,195.64,524.00,81.62,305.93,98.94,419.20,67.36
22903,Removal (3 centimeters or greater) tissue growth in abdominal wall,N,F,1730,2180,2010,2020,1521.23,83.84,15000.00,1500.47,404.39,23.71,1263.13,205.05,318.05,0.00,1010.50,164.56
22903,Removal (3 centimeters or greater) tissue growth in abdominal wall,N,O,125,147,137,140,1079.19,250.00,5000.00,511.52,399.18,196.15,504.09,71.54,311.12,12.50,403.27,67.85
22904,Removal (less than 5 centimeters) tissue growth in abdominal wall,N,F,178,210,204,205,2721.48,260.00,8194.00,1577.42,698.37,67.60,1325.69,348.79,556.16,54.08,1060.55,279.36
22905,Removal (5 centimeters or greater) tissue growth in abdominal wall,N,F,418,470,461,465,3525.68,156.25,30925.00,2678.35,1027.51,84.87,1686.51,447.62,818.80,66.34,1349.21,359.40
22999,"Procedure on abdomen, muscle or bone",N,F,179,208,195,199,1970.65,66.54,29941.00,2855.15,471.84,22.76,5054.88,484.37,375.65,18.21,4043.90,387.36
23000,Removal of calcium deposits at rotator cuff tendons,N,F,105,145,143,145,1040.28,100.00,5837.00,759.58,192.36,22.31,651.92,108.12,146.98,0.00,521.54,87.39
23020,Severing of shoulder tendon to repair contracture,N,F,262,1592,1549,1589,1769.66,159.41,12929.00,1232.39,267.75,42.71,1360.82,181.90,211.72,31.64,1088.66,143.65
23030,Drainage of abscess or blood accumulation in shoulder,N,F,936,1211,1067,1201,1079.14,72.68,7922.00,791.35,227.76,44.73,1063.55,114.47,179.19,0.00,850.84,91.02
23030,Drainage of abscess or blood accumulation in shoulder,N,O,68,87,81,83,689.75,75.00,2117.00,390.32,378.89,75.00,514.09,87.41,298.23,60.00,411.27,70.40
23031,Drainage of infected fluid-filled sac (bursa) of shoulder joint,N,F,122,166,155,165,953.66,222.30,5710.00,628.45,168.86,82.43,822.68,90.81,135.08,65.94,658.14,72.65
23031,Drainage of infected fluid-filled sac (bursa) of shoulder joint,N,O,12,13,12,13,686.29,100.00,1318.00,351.96,369.78,100.00,475.59,111.78,291.68,80.00,380.47,89.53
23035,Incision of infected bone of shoulder area,N,F,129,159,144,158,2398.42,106.92,12000.00,2391.88,497.64,41.46,1112.25,218.51,388.96,33.17,713.79,173.37
23040,Incision to repair shoulder joint,N,F,724,899,808,894,2148.95,106.36,13496.26,1453.43,530.85,44.52,1556.39,254.19,420.20,0.00,1245.11,205.54
23044,Incision of to repair shoulder joint area,N,F,180,236,217,231,1614.29,461.00,12993.87,1364.86,460.16,252.83,1358.91,196.36,364.47,45.90,1087.13,160.55
23065,Biopsy of tissue of shoulder area,N,F,101,107,105,106,710.98,129.90,8829.00,1073.87,138.68,61.79,221.99,43.97,107.11,28.11,177.59,37.36
23065,Biopsy of tissue of shoulder area,N,O,84,261,246,252,283.93,30.00,1500.00,148.32,180.60,30.00,255.77,35.26,138.57,24.00,204.62,29.94
23066,Biopsy of tissue of shoulder area,N,F,213,283,272,281,1220.91,281.70,8000.00,892.29,272.93,154.55,1202.20,119.48,216.80,97.19,961.76,96.36
23066,Biopsy of tissue of shoulder area,N,O,21,25,25,25,1215.38,381.00,8000.00,1519.40,466.30,245.53,634.50,126.09,373.04,196.42,507.60,100.88
23071,Removal (3 centimeters or greater) tissue growth of shoulder area,N,F,1767,2083,2044,2051,1726.42,27.00,15000.00,1870.13,458.03,25.53,1263.13,243.71,361.24,0.00,1010.50,194.98
23071,Removal (3 centimeters or greater) tissue growth of shoulder area,N,O,225,240,239,239,1032.81,300.00,3575.00,507.33,385.55,180.87,518.91,73.32,293.09,0.00,415.13,72.87
23073,Removal (5 centimeters or greater) muscle growth of shoulder area,N,F,1009,1125,1117,1120,2161.13,118.59,20000.00,1737.75,637.54,43.77,1263.13,228.77,503.73,0.00,1010.50,186.44
23073,Removal (5 centimeters or greater) muscle growth of shoulder area,N,O,30,32,31,32,1353.68,400.00,2531.00,511.21,666.61,346.08,781.92,99.29,509.06,266.89,625.54,99.85
23075,Removal (less than 3 centimeters) tissue growth of shoulder area,N,F,923,1034,993,995,1174.60,144.11,12201.00,1239.07,297.19,95.94,923.34,156.09,233.27,0.00,738.67,124.88
23075,Removal (less than 3 centimeters) tissue growth of shoulder area,N,O,296,357,351,352,693.11,95.00,3300.00,406.18,395.35,95.00,526.22,79.62,307.05,20.00,419.79,73.35
23076,Removal (less than 5 centimeters) muscle growth of shoulder area,N,F,799,896,882,888,1854.16,287.16,18680.00,1852.18,472.97,223.99,923.34,145.91,372.81,0.00,738.67,120.08
23076,Removal (less than 5 centimeters) muscle growth of shoulder area,N,O,71,78,75,77,1199.89,274.45,3000.00,595.35,515.66,274.45,628.81,94.36,400.78,20.00,503.05,89.94
23077,Removal (less than 5 centimeters) tissue growth of shoulder area,N,F,198,296,285,292,3505.40,600.00,28934.00,2849.56,1008.43,76.83,1399.63,320.48,805.23,61.46,1119.70,257.03
23077,Removal (less than 5 centimeters) tissue growth of shoulder area,N,O,24,28,26,28,2765.64,1162.00,6120.00,1251.67,1153.88,604.17,1326.19,149.10,919.10,483.34,1060.95,117.69
23078,Removal (5 centimeters or greater) tissue growth of shoulder area,N,F,303,400,388,394,4719.68,520.00,35000.00,4098.49,1285.91,102.53,1753.16,396.24,1020.41,82.02,1402.53,321.27
23078,Removal (5 centimeters or greater) tissue growth of shoulder area,N,O,9,12,12,12,3262.92,1381.49,5680.34,1553.25,1443.83,702.91,1643.87,241.54,1155.07,562.33,1315.10,193.23
23100,Incision and biopsy of shoulder joint,N,F,39,41,41,41,1393.16,188.00,6214.00,935.46,314.42,30.87,559.04,165.94,250.72,24.70,447.23,132.10
23101,"Incision to repair joints between shoulder, chest and collar bones",N,F,71,104,102,103,1969.83,242.33,13055.70,2247.91,361.62,176.45,1458.86,259.48,289.29,141.16,1167.09,207.58
23105,Removal of shoulder joint lining,N,F,191,278,269,277,1972.91,133.00,11444.00,1729.66,374.90,39.39,1270.76,224.56,298.59,31.51,1016.61,179.05
23106,Removal of lining of joint between collar and chest bones,N,F,15,15,15,15,1775.92,499.78,3400.00,748.22,381.49,219.42,530.88,126.28,305.20,175.54,424.70,101.03
23107,Exploration of shoulder joint,N,F,256,301,299,301,1947.95,146.01,9887.00,1191.86,419.87,39.87,1396.81,273.80,331.02,0.00,1117.45,220.59
23120,Partial removal of collar bone,N,F,5114,17719,17487,17648,2171.94,30.00,39784.00,2718.20,325.26,0.51,1695.62,226.35,256.15,0.00,1356.50,179.46
23120,Partial removal of collar bone,N,O,48,57,57,57,1459.41,136.72,3150.00,653.02,237.99,35.54,627.43,132.38,190.39,28.43,501.94,105.90
23125,Removal of collar bone,N,F,43,77,75,76,2066.44,160.00,5834.00,1543.22,400.05,46.23,1600.32,277.50,308.52,0.00,1280.26,224.97
23130,Removal or repair of collar bone and shoulder blade joint,N,F,1962,5983,5918,5976,2818.27,297.00,36388.00,3444.18,545.16,36.95,2813.41,398.29,426.82,0.00,2250.73,312.83
23130,Removal or repair of collar bone and shoulder blade joint,N,O,21,31,31,31,1550.46,500.00,6607.00,1062.50,414.12,226.66,635.84,120.22,331.30,181.33,508.67,96.18
23140,Removal of cyst or growth of collar bone or shoulder blade,N,F,121,164,151,152,1445.04,450.00,7555.00,1052.41,410.44,234.51,993.87,178.55,317.77,0.00,795.10,145.06
23146,Removal of cyst or growth of collar bone or shoulder blade with donor bone graft,N,F,12,14,14,14,1460.38,172.68,2394.00,659.39,339.09,43.15,550.52,117.34,271.27,34.52,440.42,93.87
23150,Removal of cyst or growth of upper arm bone,N,F,111,141,141,141,1961.40,95.63,7436.92,1272.18,384.35,40.06,1556.39,286.83,301.86,10.72,1245.11,227.89
23156,Removal of cyst or growth of upper arm bone with donor bone graft,N,F,40,45,45,45,2094.64,87.25,6160.00,1257.77,453.36,43.72,782.66,238.83,339.27,19.86,626.13,191.13
23170,Removal of abscess or infected collar bone,N,F,13,13,13,13,1762.38,650.00,4849.00,1023.20,470.88,250.42,623.61,127.09,376.70,200.34,498.89,101.67
23172,Removal of abscess or infected shoulder blade,N,F,16,24,24,24,1103.41,125.92,2559.00,886.55,228.13,38.49,500.00,149.53,182.51,30.79,400.00,119.62
23174,Removal of abscess or infected upper arm bone,N,F,47,53,50,53,2372.83,331.20,8500.00,1486.19,523.75,56.89,1467.83,291.87,416.30,45.51,1174.26,231.90
23180,Removal of infected collar bone,N,F,137,232,225,231,1918.69,432.25,12713.30,1422.74,475.59,192.56,1236.10,150.59,377.73,154.05,988.88,120.80
23182,Removal of infected shoulder blade,N,F,73,150,128,150,1610.73,182.00,6914.50,1050.33,302.02,39.71,1254.50,176.34,237.27,0.00,1003.60,140.69
23184,Removal of infected upper arm bone,N,F,166,278,247,278,1951.83,132.12,8988.00,1261.18,424.95,45.86,851.45,224.27,336.12,0.00,681.16,178.72
23190,Removal of portion of shoulder blade,N,F,46,214,211,214,1186.92,120.00,6405.00,901.40,262.05,35.71,1267.79,125.60,206.86,28.57,1014.23,98.94
23195,Removal of shoulder blade,N,F,83,88,87,87,2216.16,264.93,17505.00,1986.85,482.13,48.44,900.07,271.97,383.54,0.00,720.06,219.59
23200,Removal of growth of collar bone,N,F,35,39,37,39,3354.98,325.80,17500.00,2756.44,1127.74,194.76,1639.25,524.25,899.32,155.81,1311.40,418.36
23210,Removal of growth of shoulder blade,N,F,37,38,38,38,5691.29,705.50,25000.00,4492.47,1342.90,230.37,2078.68,603.57,1074.32,184.30,1662.94,482.86
23220,Removal of growth of upper arm bone,N,F,78,110,108,110,7307.05,240.05,40000.00,8379.63,1610.43,185.69,2283.49,611.98,1274.66,0.00,1826.79,504.15
23330,Removal of foreign body of shoulder joint,N,F,81,89,88,88,695.29,90.00,3073.00,550.13,122.67,11.38,356.65,66.40,96.55,9.10,285.32,53.20
23330,Removal of foreign body of shoulder joint,N,O,35,41,41,41,423.73,62.00,1105.00,228.54,220.34,62.00,280.96,43.33,167.29,49.60,224.77,42.19
23331,Removal of foreign body of shoulder joint,N,F,836,1411,1364,1409,1766.46,39.64,13188.00,1223.89,314.69,7.13,1083.31,142.19,247.26,0.00,866.65,114.59
23332,Removal of foreign body of shoulder joint,N,F,993,1667,1625,1663,2514.00,56.84,22070.40,1992.19,412.02,19.58,1047.98,256.55,325.63,0.00,838.38,204.62
23332,Removal of foreign body of shoulder joint,N,O,10,12,11,11,2021.82,840.00,5724.00,1867.42,209.50,54.71,483.37,167.51,167.60,43.77,386.70,134.01
23350,Injection of dye for X-ray imaging of shoulder joint,N,F,5994,19018,18607,18797,253.86,27.58,4560.00,175.13,49.54,23.68,82.26,3.14,38.07,0.00,65.81,4.83
23350,Injection of dye for X-ray imaging of shoulder joint,N,O,3011,15671,14433,15481,460.44,50.00,2250.00,228.90,145.36,37.08,256.89,17.11,112.65,0.00,205.51,15.97
23395,Relocation of muscle of shoulder or upper arm,N,F,227,616,599,604,3127.63,187.42,16228.00,2059.03,654.49,79.09,1819.51,410.83,518.16,0.00,1455.61,329.25
23397,Relocation of muscles of shoulder or upper arm,N,F,63,91,90,90,2509.44,250.00,13465.00,2047.39,613.97,70.03,4642.68,560.29,482.88,56.02,3714.14,444.30
23400,Reshaping and relocation of shoulder blade bone,N,F,21,22,22,22,2720.96,54.20,10252.00,2250.70,494.94,54.20,1160.84,352.02,372.76,43.36,928.67,273.81
23405,Incision of shoulder tendon,N,F,1465,3943,3889,3907,1953.68,81.00,32550.00,1802.00,296.87,38.02,1707.14,190.74,235.06,3.45,1365.71,151.96
23405,Incision of shoulder tendon,N,O,15,30,26,30,1310.40,327.14,2924.00,725.08,500.57,40.48,683.89,162.07,400.45,32.38,547.11,129.65
23406,Incision of shoulder tendons,N,F,61,143,140,140,1859.10,143.68,10748.00,1533.40,416.82,48.31,884.63,224.06,333.45,38.65,707.70,179.25
23406,Incision of shoulder tendons,N,O,4,15,13,15,1193.60,935.00,1550.00,154.65,765.95,385.52,807.54,104.07,560.31,308.42,597.81,67.55
23410,Repair of torn tendons of shoulder,N,F,3534,7592,7489,7557,3178.63,86.00,40858.00,2963.49,741.90,49.82,2813.41,516.41,580.39,0.00,2250.73,406.69
23410,Repair of torn tendons of shoulder,N,O,46,49,49,49,2107.50,206.44,5250.00,1216.57,574.51,103.03,900.90,305.63,440.49,32.27,720.72,248.27
23412,Repair of torn tendons of shoulder,N,F,7868,34510,33972,34385,3642.93,55.09,36167.00,3327.82,796.54,33.82,2813.41,520.19,626.29,0.00,2250.73,410.18
23412,Repair of torn tendons of shoulder,N,O,73,86,85,85,2602.95,283.00,11892.00,2049.86,596.34,67.08,974.96,312.46,463.18,23.15,779.97,254.31
23415,Release of collar bone and shoulder ligament,N,F,467,1131,1121,1130,2469.25,230.00,31791.00,2185.44,529.10,97.64,2500.55,313.99,416.19,77.86,2000.44,247.15
23420,Repair of torn shoulder tendons,N,F,3283,10934,10765,10875,3293.63,124.97,43400.00,3031.68,796.25,60.23,2577.06,434.22,627.56,0.00,2061.65,344.63
23420,Repair of torn shoulder tendons,N,O,52,79,76,76,2652.06,10.00,6400.00,1639.52,758.36,10.00,1102.41,321.65,586.76,8.00,881.93,260.87
23430,Anchoring of biceps tendon,N,F,5595,19518,19283,19445,2482.90,48.15,32550.00,2299.17,394.30,45.02,2483.68,327.80,310.31,0.00,1986.94,257.74
23430,Anchoring of biceps tendon,N,O,29,29,29,29,2068.87,300.00,11035.00,1915.10,238.23,47.87,413.14,154.15,183.35,38.30,330.51,123.06
23440,Transplantation of biceps tendon,N,F,912,3081,3037,3054,2435.61,96.42,23334.60,2145.14,377.34,45.61,1456.18,215.68,297.15,0.00,1164.94,170.74
23440,Transplantation of biceps tendon,N,O,10,14,14,14,2249.57,584.00,4000.00,889.27,375.51,48.84,681.41,203.05,284.92,39.07,545.13,142.94
23450,Reattachment of shoulder joint capsule,N,F,108,162,161,162,2381.67,235.71,15747.00,2163.97,600.32,59.56,3950.51,616.68,478.24,36.22,3160.41,494.09
23455,Reattachment of shoulder joint capsule and cartilage,N,F,280,316,312,315,3534.41,188.84,28700.00,3575.54,879.77,63.93,4261.47,839.67,696.75,0.00,3409.18,674.21
23460,Reattachment of shoulder joint capsule and cartilage,N,F,59,64,64,64,2857.45,363.00,7462.00,1596.91,627.21,70.60,1217.19,394.42,501.21,56.48,973.75,315.08
23462,Reattachment of shoulder joint capsule,N,F,127,130,129,130,3271.94,195.74,10945.29,2153.75,825.33,68.47,2066.79,457.42,653.26,0.00,1653.43,369.90
23465,Repair of shoulder joint,N,F,77,228,220,227,2264.06,241.67,12564.00,1668.40,452.94,71.64,1391.10,303.58,359.24,17.84,1112.88,241.80
23466,Repair of shoulder joint,N,F,99,174,173,174,3559.62,234.40,20399.00,2433.06,734.19,69.59,1885.19,483.51,571.40,0.00,1508.15,385.95
23470,Prosthetic repair of shoulder joint,N,F,4455,8527,8368,8495,3338.01,113.60,25000.00,2276.91,849.32,74.01,1566.21,463.86,672.22,0.00,1252.97,369.88
23470,Prosthetic repair of shoulder joint,N,O,24,29,28,28,2446.29,693.00,5689.00,1432.26,914.04,116.81,1293.02,432.56,727.37,93.45,1034.42,344.05
23472,Prosthetic repair of shoulder joint,N,F,7963,49798,48344,49591,4250.32,140.78,28000.00,2923.08,1030.38,97.33,1872.19,588.37,815.60,0.00,1497.75,466.64
23472,Prosthetic repair of shoulder joint,N,O,93,119,118,118,4071.14,500.00,21420.00,3300.37,949.95,182.45,1725.59,597.75,756.66,85.07,1380.47,480.30
23480,Incision to repair collar bone,N,F,77,99,98,99,2502.73,438.98,7518.00,1038.14,711.85,363.97,1902.64,303.83,559.23,0.00,1522.11,252.45
23485,Incision to repair collar bone for nonunion of fracture with bone graft,N,F,195,211,205,211,2957.68,144.40,15500.00,2322.24,874.75,64.73,4674.23,821.53,697.21,51.78,3739.38,657.83
23491,Stabilization of upper arm bone,N,F,57,75,72,73,3133.23,360.00,11365.00,1633.51,767.52,68.30,1142.91,331.90,612.61,54.64,914.33,265.13
23500,Treatment of collar bone fracture,N,F,6652,8213,8120,8124,647.86,2.85,15387.00,364.51,174.65,0.46,383.67,38.09,137.52,0.00,306.94,32.48
23500,Treatment of collar bone fracture,N,O,3993,6151,6130,6144,529.76,127.00,5000.00,268.75,204.63,0.60,375.54,27.46,158.25,0.00,300.43,28.61
23505,Treatment of collar bone broken,N,F,87,93,93,93,971.59,379.02,3245.00,487.14,285.02,126.07,379.16,69.15,225.12,0.00,303.33,59.85
23505,Treatment of collar bone broken,N,O,86,102,102,102,925.66,200.00,3690.00,616.93,334.46,58.25,402.26,52.15,261.91,20.00,321.81,45.00
23515,Surgical treatment of collar bone broken,N,F,1741,2040,1994,2031,2123.64,91.73,28700.00,2329.06,674.90,44.84,3699.57,629.51,532.87,0.00,2959.66,502.16
23515,Surgical treatment of collar bone broken,N,O,12,13,12,12,1481.58,237.00,3354.00,1006.72,451.33,92.55,725.01,252.44,361.06,74.04,580.01,201.95
23520,Treatment of dislocation joint between collar and chest bones,N,F,24,25,25,25,700.50,173.99,3009.00,609.16,185.91,106.40,258.50,55.37,145.98,70.45,206.80,46.86
23520,Treatment of dislocation joint between collar and chest bones,N,O,15,18,18,18,577.10,144.00,1500.00,346.59,184.73,102.91,264.65,52.09,141.29,3.20,211.72,53.23
23530,Surgical treatment of dislocation of joint between collar and chest bones,N,F,20,20,20,20,1482.87,286.20,5418.00,1052.40,449.99,70.04,1921.20,385.93,358.44,56.03,1536.96,308.55
23532,Surgical treatment of dislocation of joint between collar and chest bones,N,F,12,14,12,14,1701.54,539.50,4026.00,1014.81,422.57,79.88,686.81,250.96,338.06,63.90,549.45,200.77
23540,Treatment of collar bone and shoulder joint dislocation,N,F,425,440,438,438,758.80,164.30,7403.00,459.25,177.00,29.32,320.78,35.07,138.91,23.46,256.62,31.52
23540,Treatment of collar bone and shoulder joint dislocation,N,O,132,150,149,149,557.76,169.74,2500.00,323.39,212.99,89.40,264.93,30.95,165.37,0.00,211.94,32.00
23545,Treatment of collar bone and shoulder joint dislocation,N,F,55,56,55,55,953.27,228.00,2300.00,450.19,246.98,45.77,339.42,54.95,191.83,0.00,271.54,48.00
23550,Surgical treatment of collar bone and shoulder joint dislocation,N,F,543,645,609,641,2109.03,82.81,28611.28,2578.45,445.83,34.40,2629.46,483.10,351.51,0.00,2103.57,387.40
23552,Surgical treatment of collar bone and shoulder joint dislocation with tissue graft,N,F,240,269,261,269,2141.56,136.00,14678.70,2032.44,545.89,40.68,2629.46,438.35,427.11,22.68,2103.57,346.30
23570,Treatment of shoulder blade fracture,N,F,1272,1508,1498,1499,639.91,123.00,3150.00,286.26,199.41,26.61,382.77,47.41,156.58,0.00,306.22,40.77
23570,Treatment of shoulder blade fracture,N,O,1166,1333,1330,1332,567.94,174.52,3300.00,275.13,215.35,43.68,272.63,32.14,167.31,0.00,218.10,32.95
23575,Treatment of broken shoulder blade,N,F,46,48,48,48,1079.41,388.24,3000.00,548.63,303.12,165.06,435.31,79.54,236.31,129.32,348.25,64.59
23575,Treatment of broken shoulder blade,N,O,19,19,19,19,966.64,430.00,1800.00,396.91,377.17,298.24,425.96,26.85,301.73,238.59,340.77,21.48
23585,Surgical treatment of broken shoulder blade,N,F,503,714,691,707,2319.60,67.68,25000.00,2202.87,583.19,59.44,3172.95,451.46,461.43,0.00,2538.36,355.30
23585,Surgical treatment of broken shoulder blade,N,O,11,11,11,11,2119.27,1267.00,3530.00,642.19,874.87,473.49,1038.71,183.03,699.90,378.79,830.97,146.43
