HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Minimum Submitted Charge Amount,Maximum Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Allowed Amount,Minimum Medicare Allowed Amount,Maximum Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Medicare Payment Amount,Minimum Medicare Payment Amount,Maximum Medicare Payment Amount,Standard Deviation of Medicare Payment Amount
J7665,"Mannitol, administered through an inhaler, 5 mg",Y,O,50,12702,139,139,3.79,0.63,225.00,10.32,0.66,0.63,0.67,0.01,0.51,0.00,0.53,0.06
J7669,"Metaproterenol sulfate, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams",Y,O,7,36,32,36,11.70,1.00,30.00,11.71,0.35,0.25,0.44,0.05,0.26,0.20,0.34,0.03
J7674,"Methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg",Y,O,530,152858,3038,3068,1.34,0.01,440.00,3.73,0.49,0.01,0.50,0.01,0.37,0.00,0.40,0.04
J7799,"Noc drugs, other than inhalation drugs, administered through dme",N,F,8,56,15,15,109.11,15.00,675.00,206.06,50.32,4.39,336.23,98.71,39.42,3.44,267.01,78.33
J7799,"Noc drugs, other than inhalation drugs, administered through dme",N,O,430,66270,6232,18379,188.81,0.01,14220.00,333.90,97.99,0.01,3026.44,216.52,76.35,0.00,2382.32,169.69
J9000,"Injection, doxorubicin hydrochloride, 10 mg",Y,O,4566,376832,15654,44224,37.18,0.01,2400.00,45.31,3.69,0.01,4.23,0.17,2.87,0.00,3.31,0.21
J9002,"Injection, doxorubicin hydrochloride, liposomal, doxil, 10 mg",Y,O,1379,31816,2279,5008,1032.63,0.00,43547.16,481.02,534.07,0.00,569.30,49.95,415.36,0.00,448.49,56.24
J9010,"Injection, alemtuzumab, 10 mg",Y,O,122,2048,151,736,1113.49,0.00,2404.00,675.78,518.98,0.00,623.64,224.36,395.60,0.00,489.16,187.82
J9015,"Injection, aldesleukin, per single use vial",Y,O,24,336,32,319,2118.87,10.00,3459.00,762.87,1309.31,10.00,1745.03,301.17,1031.05,0.00,1368.10,237.36
J9017,"Injection, arsenic trioxide, 1 mg",Y,O,220,36076,250,2410,87.12,0.01,209.00,32.22,46.84,0.01,49.85,2.32,36.67,0.00,39.08,2.87
J9020,"Injection, asparaginase, not otherwise specified, 10,000 units",Y,O,12,47,12,23,120.95,70.90,172.00,37.40,63.40,63.20,64.57,0.49,50.42,49.56,50.63,0.36
J9025,"Injection, azacitidine, 1 mg",Y,O,3901,26084010,14115,144019,11.66,0.00,319.69,5.74,5.68,0.00,5.77,0.17,4.44,0.00,4.52,0.24
J9027,"Injection, clofarabine, 1 mg",Y,O,26,6383,30,127,259.26,40.00,550.00,118.94,127.79,40.00,129.53,2.20,97.07,0.50,101.55,19.15
J9031,Bcg (intravesical) per instillation,Y,F,3,153,35,153,199.13,120.87,225.00,9.23,119.87,119.85,120.87,0.14,90.00,89.89,96.70,0.78
J9031,Bcg (intravesical) per instillation,Y,O,6483,143238,38258,143199,262.08,0.01,2392.25,97.90,119.49,0.01,120.91,1.83,91.97,0.00,96.70,4.77
J9035,"Injection, bevacizumab, 10 mg",Y,F,83,5964,1659,5096,495.60,10.00,2686.23,869.97,63.32,10.00,64.64,3.16,48.34,7.84,50.76,3.23
J9035,"Injection, bevacizumab, 10 mg",Y,O,7625,9495569,194905,687442,126.38,0.00,1268.52,45.60,63.84,0.00,99.85,2.46,49.64,0.00,78.28,3.19
J9040,"Injection, bleomycin sulfate, 15 units",Y,O,1152,7170,1599,4461,212.59,0.55,1371.00,207.28,20.90,0.55,21.83,1.88,15.97,0.00,17.12,2.70
J9041,"Injection, bortezomib, 0. 1 mg",Y,O,5019,6315708,24551,184459,84.74,0.01,1303.05,32.53,44.62,0.01,45.33,1.29,34.77,0.00,35.54,1.97
J9042,"Injection, brentuximab vedotin, 1 mg",Y,O,338,145402,364,1005,213.70,0.00,18000.00,106.86,100.26,0.00,102.74,5.74,78.50,0.00,80.55,7.45
J9043,"Injection, cabazitaxel, 1 mg",Y,O,1125,279592,1593,4731,282.51,0.00,21180.00,113.65,138.99,0.00,142.08,4.08,108.24,0.00,111.39,10.76
J9045,"Injection, carboplatin, 50 mg",Y,O,5847,1497475,66755,221345,145.89,0.01,2400.00,135.12,3.19,0.01,3.44,0.07,2.48,0.00,2.70,0.11
J9050,"Injection, carmustine, 100 mg",Y,O,58,279,73,125,696.67,175.68,3702.00,750.25,295.85,166.90,870.93,204.68,228.92,0.00,682.81,163.35
J9055,"Injection, cetuximab, 10 mg",Y,O,3414,2637954,8482,50957,110.57,0.00,599.04,41.86,52.06,0.00,55.19,1.39,40.49,0.00,43.27,3.34
J9060,"Injection, cisplatin, powder or solution, 10 mg",Y,O,4578,502606,20058,63913,47.14,0.01,2400.00,67.46,2.02,0.01,2.12,0.06,1.57,0.00,1.69,0.10
J9065,"Injection, cladribine, per 1 mg",Y,O,298,14146,323,1198,92.84,0.00,219.28,38.83,26.41,0.00,29.17,2.33,20.66,0.00,23.34,2.63
J9070,"Cyclophosphamide, 100 mg",Y,O,5143,917262,26574,80111,64.32,0.00,1600.00,38.24,32.69,0.00,40.38,5.69,25.45,0.00,31.66,4.56
J9098,"Injection, cytarabine liposome, 10 mg",Y,O,46,600,49,129,1067.83,489.42,2500.00,368.67,532.46,489.42,544.54,10.73,420.56,391.54,426.92,7.88
J9100,"Injection, cytarabine, 100 mg",Y,O,543,38486,729,3074,10.63,0.89,300.00,21.99,0.96,0.17,1.64,0.09,0.75,0.00,1.28,0.09
J9130,"Dacarbazine, 100 mg",Y,O,1046,39442,1286,5653,22.75,0.01,175.43,14.41,3.79,0.01,4.06,0.24,2.93,0.00,3.18,0.37
J9150,"Injection, daunorubicin, 10 mg",Y,O,32,602,33,68,63.00,24.00,116.92,29.63,25.29,21.90,30.02,3.18,19.99,17.40,23.54,2.33
J9155,"Injection, degarelix, 1 mg",Y,O,3124,3571668,11452,31620,7.11,0.00,2688.00,8.13,3.10,0.00,3.72,0.18,2.39,0.00,2.92,0.20
J9171,"Injection, docetaxel, 1 mg",Y,O,5150,9039741,27152,91253,36.12,0.00,800.00,18.29,5.52,0.00,6.37,0.37,4.29,0.00,5.10,0.37
J9178,"Injection, epirubicin hcl, 2 mg",Y,O,873,170766,1172,2969,35.30,0.01,750.00,29.94,1.38,0.01,1.58,0.11,1.06,0.00,1.26,0.15
J9179,"Injection, eribulin mesylate, 0. 1 mg",Y,O,1657,303473,2580,12218,200.20,0.01,3312.80,87.36,96.53,0.01,115.66,4.29,74.87,0.00,90.68,8.19
J9181,"Injection, etoposide, 10 mg",Y,O,4490,1495464,19389,91883,12.81,0.01,1760.00,29.02,0.74,0.01,0.79,0.01,0.58,0.00,0.63,0.03
J9185,"Injection, fludarabine phosphate, 50 mg",Y,O,1579,14610,2572,13416,456.67,0.01,1600.00,240.73,85.50,0.01,88.53,3.95,66.82,0.00,69.41,4.96
J9190,"Injection, fluorouracil, 500 mg",Y,O,5832,1087771,42354,207248,10.61,0.00,1760.00,24.46,2.01,0.00,2.48,0.05,1.56,0.00,1.96,0.08
J9200,"Injection, floxuridine, 500 mg",Y,O,18,80,31,60,153.74,15.00,331.00,95.36,56.47,15.00,67.08,17.89,44.94,11.76,52.59,14.24
J9201,"Injection, gemcitabine hydrochloride, 200 mg",Y,O,5570,1257778,36531,161143,226.70,0.00,3083.02,141.39,8.13,0.00,35.11,0.77,6.32,0.00,27.53,0.68
J9202,"Goserelin acetate implant, per 3. 6 mg",Y,O,1289,23136,3697,9216,557.69,0.01,4171.15,326.92,187.74,0.01,194.19,8.24,144.17,0.00,152.25,11.76
J9206,"Injection, irinotecan, 20 mg",Y,O,4469,939131,16924,73827,150.47,0.00,1822.00,134.45,3.70,0.00,10.57,0.39,2.87,0.00,8.29,0.36
J9207,"Injection, ixabepilone, 1 mg",Y,O,591,126164,744,2399,136.09,63.11,656.00,50.85,67.41,62.98,68.65,0.79,51.89,0.00,53.82,7.34
J9208,"Injection, ifosfamide, 1 gram",Y,O,594,11811,831,3934,175.18,27.70,805.07,96.97,30.00,27.70,31.04,0.50,23.28,0.00,24.34,1.96
J9209,"Injection, mesna, 200 mg",Y,O,722,53116,1109,4821,46.63,2.70,676.05,45.18,3.06,1.14,3.67,0.28,2.38,0.00,2.94,0.30
J9211,"Injection, idarubicin hydrochloride, 5 mg",Y,O,37,316,39,70,671.30,93.06,1813.00,379.28,73.10,35.31,97.96,25.38,57.25,19.09,78.37,20.97
J9214,"Injection, interferon, alfa-2b, recombinant, 1 million units",Y,O,1624,517420,2760,16423,38.36,0.01,8567.90,56.86,18.92,0.01,20.70,0.92,14.75,0.00,16.23,1.27
J9217,"Leuprolide acetate (for depot suspension), 7. 5 mg",Y,O,12203,1031938,140895,276209,665.18,0.00,7541.00,327.84,207.60,0.00,215.13,4.58,160.82,0.00,172.11,5.81
J9219,"Leuprolide acetate implant, 65 mg",Y,O,21,30,30,30,5597.77,792.00,14929.39,2592.58,4263.82,792.00,4819.82,1235.37,3354.15,620.93,3855.86,972.91
J9225,"Histrelin implant (vantas), 50 mg",Y,O,772,2618,2612,2617,5953.19,0.01,22239.95,2330.53,2956.48,0.01,2994.41,128.18,2304.81,0.00,2384.84,157.64
J9228,"Injection, ipilimumab, 1 mg",Y,O,854,699425,1268,2706,249.76,0.00,630.00,73.27,126.55,0.00,128.96,4.84,99.22,0.00,101.10,6.99
J9230,"Injection, mechlorethamine hydrochloride, (nitrogen mustard), 10 mg",Y,O,41,137,84,119,126.74,3.00,560.00,135.03,78.65,3.00,157.86,66.14,58.93,2.35,126.29,51.40
J9245,"Injection, melphalan hydrochloride, 50 mg",Y,O,40,329,65,122,4749.98,1273.10,8376.52,2493.11,1295.33,1209.45,1314.21,13.75,1020.91,948.21,1051.37,15.19
J9250,"Methotrexate sodium, 5 mg",Y,O,1782,283394,8267,75944,4.26,0.01,200.00,5.72,0.22,0.01,0.27,0.02,0.17,0.00,0.22,0.02
J9260,"Methotrexate sodium, 50 mg",Y,O,1676,60420,4668,37405,15.56,0.01,312.00,17.98,2.26,0.01,2.76,0.20,1.72,0.00,2.17,0.19
J9263,"Injection, oxaliplatin, 0. 5 mg",Y,O,4871,29791833,24384,92303,19.59,0.00,400.00,10.08,1.67,0.00,4.08,0.60,1.31,0.00,3.26,0.48
J9264,"Injection, paclitaxel protein-bound particles, 1 mg",Y,O,3682,13834305,13163,66504,20.52,0.01,3408.00,8.05,9.53,0.01,9.56,0.14,7.42,0.00,7.61,0.45
J9265,"Injection, paclitaxel, 30 mg",Y,O,5550,1083585,46892,196345,168.63,0.00,2066.08,147.86,4.72,0.00,14.94,0.23,3.67,0.00,11.74,0.23
J9268,"Injection, pentostatin, 10 mg",Y,O,169,469,201,469,3335.89,1225.87,9006.09,1446.46,1369.41,1225.87,1419.70,45.45,1070.67,734.03,1113.04,56.76
J9280,"Injection, mitomycin, 5 mg",Y,F,171,4086,1626,1784,83.85,9.20,3245.00,134.07,22.65,9.20,24.54,2.77,17.83,0.00,19.24,2.20
J9280,"Injection, mitomycin, 5 mg",Y,O,2814,120702,6129,17986,91.88,0.00,1600.00,76.08,23.54,0.00,24.54,1.12,18.21,0.00,19.38,1.41
J9293,"Injection, mitoxantrone hydrochloride, per 5 mg",Y,O,459,5810,567,1391,382.83,29.00,1100.00,296.41,36.58,29.00,37.32,0.93,28.48,0.00,29.50,2.62
J9302,"Injection, ofatumumab, 10 mg",Y,O,421,312358,505,1790,97.04,10.00,402.79,33.46,45.99,10.00,46.53,1.05,35.76,0.00,36.48,3.51
J9303,"Injection, panitumumab, 10 mg",Y,O,1070,296159,1536,6411,188.98,0.00,25052.96,98.31,90.09,0.00,91.38,1.37,69.95,0.00,71.64,7.28
J9305,"Injection, pemetrexed, 10 mg",Y,O,4389,5057990,17215,56122,112.25,0.00,646.13,41.20,58.62,0.00,59.49,1.43,45.69,0.00,46.64,2.84
J9307,"Injection, pralatrexate, 1 mg",Y,O,173,46660,179,985,374.99,3.00,915.00,149.10,182.46,3.00,182.65,1.56,142.68,0.00,146.12,12.32
J9310,"Injection, rituximab, 100 mg",Y,O,6839,1308896,56030,171502,1209.98,0.00,6561.22,456.88,672.27,0.00,817.72,22.45,523.36,0.00,645.40,28.27
J9315,"Injection, romidepsin, 1 mg",Y,O,275,35993,322,1351,527.16,212.59,2050.00,212.67,247.01,212.59,253.47,4.80,194.71,166.67,198.72,3.19
J9320,"Injection, streptozocin, 1 gram",Y,O,71,416,75,376,559.84,165.93,822.00,198.88,261.67,165.93,276.05,33.78,203.22,60.82,216.93,33.41
J9328,"Injection, temozolomide, 1 mg",Y,O,55,148728,63,485,10.18,6.00,17.51,2.64,4.99,4.59,15.84,1.19,3.94,3.64,12.60,0.95
J9330,"Injection, temsirolimus, 1 mg",Y,O,1184,306684,1590,12230,103.84,0.01,450.00,32.83,55.65,0.01,56.14,1.75,43.32,0.00,44.91,3.90
J9340,"Injection, thiotepa, 15 mg",Y,O,11,89,21,70,260.56,118.00,335.00,59.98,221.40,50.00,278.64,63.63,160.94,40.00,219.30,46.47
J9351,"Injection, topotecan, 0. 1 mg",Y,O,2391,1170877,4313,22171,43.56,0.01,1650.00,25.24,2.48,0.01,3.17,0.28,1.93,0.00,2.54,0.26
J9355,"Injection, trastuzumab, 10 mg",Y,O,4454,3464157,16760,103161,151.58,0.00,1156.99,55.34,77.99,0.00,118.22,1.51,60.72,0.00,92.69,3.66
J9357,"Injection, valrubicin, intravesical, 200 mg",Y,O,667,11749,929,3073,1657.21,118.00,6000.00,645.35,1033.84,118.00,1054.48,82.78,800.25,0.00,831.19,117.33
J9360,"Injection, vinblastine sulfate, 1 mg",Y,O,1170,54184,1452,5616,9.26,0.01,94.00,9.95,1.44,0.01,1.66,0.18,1.11,0.00,1.31,0.20
J9370,"Vincristine sulfate, 1 mg",Y,O,3984,57874,11146,30714,39.03,0.01,1600.00,37.26,4.51,0.01,26.11,0.97,3.52,0.00,20.48,0.78
J9390,"Injection, vinorelbine tartrate, 10 mg",Y,O,3029,150361,6845,34139,105.93,0.00,1600.00,85.41,10.01,0.00,11.06,0.54,7.73,0.00,8.85,0.74
J9395,"Injection, fulvestrant, 25 mg",Y,O,4053,1082005,13753,57031,185.47,0.00,2500.00,63.74,88.82,0.00,89.68,2.97,69.29,0.00,70.67,4.07
J9999,"Not otherwise classified, antineoplastic drugs",N,O,2973,834228,7770,43419,303.58,1.67,38608.00,1188.88,131.74,0.01,14699.50,479.04,102.74,0.00,11524.41,373.60
L7510,"Repair of prosthetic device, repair or replace minor parts",N,O,5,2176,1637,1846,160.62,44.20,728.34,196.88,114.51,18.21,709.32,206.71,89.17,13.76,554.62,161.77
L8509,"Tracheo-esophageal voice prosthesis, inserted by a licensed health care provider, any type",N,F,13,59,40,59,257.30,175.00,667.82,96.97,101.59,96.68,103.27,2.26,74.98,63.03,82.62,7.69
L8509,"Tracheo-esophageal voice prosthesis, inserted by a licensed health care provider, any type",N,O,159,1446,803,1446,278.52,99.52,900.00,151.00,101.45,94.46,103.27,1.40,75.37,0.00,82.62,7.07
L8600,"Implantable breast prosthesis, silicone or equal",N,F,7,20,13,14,1226.25,325.00,2500.00,419.93,611.23,325.00,678.30,72.80,472.78,254.80,542.64,75.46
L8603,"Injectable bulking agent, collagen implant, urinary tract, 2. 5 ml syringe, includes shipping and necessary supplies",N,O,33,199,100,132,912.35,350.00,2128.00,674.62,405.74,350.00,407.89,6.23,309.69,12.25,326.31,33.74
L8605,"Injectable bulking agent, dextranomer/hyaluronic acid copolymer implant, anal canal, 1 ml, includes shipping and necessary supplies",N,O,259,1836,461,491,1218.18,0.00,4900.00,592.74,653.44,0.00,2694.64,89.85,510.13,0.00,2112.60,73.81
L8606,"Injectable bulking agent, synthetic implant, urinary tract, 1 ml syringe, includes shipping and necessary supplies",N,F,17,107,37,46,458.85,250.00,2000.00,466.81,204.42,192.13,214.12,6.04,159.34,112.50,171.30,8.57
L8606,"Injectable bulking agent, synthetic implant, urinary tract, 1 ml syringe, includes shipping and necessary supplies",N,O,342,5062,1802,2229,423.22,100.00,3104.00,225.39,202.59,100.00,214.12,18.54,158.49,9.61,171.30,15.19
L8610,Ocular implant,N,F,10,23,21,23,321.70,125.00,762.00,165.32,310.82,125.00,644.78,138.34,244.84,98.00,505.50,108.35
L8610,Ocular implant,N,O,23,47,46,46,811.00,40.00,4000.00,607.76,502.90,40.00,644.78,183.15,374.79,31.36,515.82,146.22
L8612,Aqueous shunt,N,F,10,46,44,46,1144.62,400.00,1997.61,500.87,667.86,400.00,740.42,63.53,522.34,320.00,587.78,52.64
L8615,"Headset/headpiece for use with cochlear implant device, replacement",N,O,4,721,635,656,336.24,323.70,625.00,10.78,334.93,323.70,427.42,3.50,255.86,219.85,258.96,1.35
L8616,"Microphone for use with cochlear implant device, replacement",N,O,2,977,876,913,180.36,180.33,193.70,0.60,97.53,97.53,98.26,0.03,72.25,72.24,78.61,0.29
L8617,"Transmitting coil for use with cochlear implant device, replacement",N,O,6,258,240,251,225.18,42.84,377.00,56.65,85.97,38.82,325.00,16.80,65.04,28.53,254.80,13.28
L8618,"Transmitter cable for use with cochlear implant device, replacement",N,O,5,1185,792,1014,58.23,32.00,102.70,24.86,24.26,23.75,25.07,0.50,17.49,0.00,19.23,0.99
L8619,"Cochlear implant, external speech processor and controller, integrated system, replacement",N,O,3,1510,1407,1433,8549.47,7759.00,8948.27,548.46,7672.39,7553.17,7729.36,81.91,5984.73,5900.46,6030.60,60.72
L8621,"Zinc air battery for use with cochlear implant device, replacement, each",N,O,7,965898,3608,6471,0.70,0.66,3.47,0.08,0.57,0.56,0.57,0.00,0.41,0.00,0.45,0.00
L8623,"Lithium ion battery for use with cochlear implant device speech processor, other than ear level, replacement, each",N,O,2,331,136,144,96.21,6.00,99.31,16.73,58.38,6.00,60.18,9.71,42.12,4.71,43.41,6.94
L8624,"Lithium ion battery for use with cochlear implant device speech processor, ear level, replacement, each",N,O,6,7941,3261,3680,203.10,125.00,290.00,14.57,149.03,125.00,150.49,4.42,112.92,94.37,119.20,3.48
L8628,"Cochlear implant, external controller component, replacement",N,O,1,623,608,615,1326.89,1326.89,1326.89,0.00,1043.73,1043.73,1043.73,0.00,808.50,808.50,808.50,0.00
L8629,"Transmitting coil and cable, integrated, for use with cochlear implant device, replacement",N,O,1,576,561,571,289.72,289.72,289.72,0.00,166.45,166.45,166.45,0.00,119.79,119.79,119.79,0.00
L8680,"Implantable neurostimulator electrode, each",N,F,96,4004,369,555,921.21,100.00,9000.00,644.41,430.98,100.00,470.14,24.17,334.93,60.68,370.26,28.50
L8680,"Implantable neurostimulator electrode, each",N,O,2090,241614,17702,24167,817.90,8.10,9600.00,427.06,434.39,8.10,6912.00,37.52,336.74,0.00,5529.60,33.50
L8681,"Patient programmer (external) for use with implantable programmable neurostimulator pulse generator, replacement only",N,O,51,712,698,712,1816.11,200.00,3000.00,551.06,1015.75,200.00,1337.85,164.70,789.28,42.28,1048.87,128.35
L8683,Radiofrequency transmitter (external) for use with implantable neurostimulator radiofrequency receiver,N,O,6,25,25,25,10656.00,300.00,15000.00,5955.64,4269.46,300.00,5041.26,1711.21,3242.95,240.00,3992.68,1298.14
L8687,"Implantable neurostimulator pulse generator, dual array, rechargeable, includes extension",N,O,15,131,127,131,22845.80,300.00,40000.00,15259.58,11590.75,300.00,16047.65,7047.68,9116.77,236.02,12673.50,5543.59
L8689,"External recharging system for battery (internal) for use with implantable neurostimulator, replacement only",N,O,19,388,385,388,3016.10,200.00,3600.00,768.81,1541.65,200.00,1622.41,220.16,1197.56,156.80,1282.25,181.35
L8691,"Auditory osseointegrated device, external sound processor, replacement",N,O,3,338,331,335,4023.22,4021.28,4500.00,27.73,2477.91,2434.75,2507.83,2.86,1937.55,1915.79,1966.13,1.95
L8699,"Prosthetic implant, not otherwise specified",N,O,10,53,42,44,351.28,30.00,1000.00,258.20,186.29,30.00,1000.00,227.36,145.24,0.00,784.00,179.60
L9900,"Orthotic and prosthetic supply, accessory, and/or service component of another hcpcs ""l"" code",N,O,41,9678,370,1026,254.04,64.50,2442.08,257.72,80.96,0.01,2442.08,275.77,57.94,0.01,1488.14,167.64
M0064,Brief office visit for the sole purpose of monitoring or changing drug prescriptions used in the treatment of mental psychoneurotic and personality disorders,N,F,284,16938,6495,16799,97.78,12.54,364.00,51.71,15.16,12.13,21.33,1.19,10.50,0.00,15.84,1.94
M0064,Brief office visit for the sole purpose of monitoring or changing drug prescriptions used in the treatment of mental psychoneurotic and personality disorders,N,O,1349,151802,52318,151629,81.60,10.00,596.70,36.03,53.07,10.00,72.41,6.95,36.86,0.00,56.77,7.25
P3000,"Screening papanicolaou smear, cervical or vaginal, up to three smears, by technician under physician supervision",N,O,314,16632,16629,16632,47.01,9.00,234.00,13.87,14.53,9.00,14.53,0.12,14.31,8.82,14.53,0.12
P3001,"Screening papanicolaou smear, cervical or vaginal, up to three smears, requiring interpretation by physician",N,F,156,2225,2213,2224,74.37,14.00,119.00,33.79,29.91,14.00,36.25,3.51,28.87,13.72,35.52,3.51
P3001,"Screening papanicolaou smear, cervical or vaginal, up to three smears, requiring interpretation by physician",N,O,242,1994,1982,1990,51.39,14.00,209.00,20.75,29.08,14.00,36.25,4.96,27.14,0.00,35.85,5.27
P9010,"Blood (whole), for transfusion, per unit",N,F,1,52,36,37,302.01,302.01,302.01,0.00,4.96,4.96,4.96,0.00,3.81,3.81,3.81,0.00
P9010,"Blood (whole), for transfusion, per unit",N,O,9,27,13,21,700.00,700.00,700.00,0.00,106.96,0.05,169.83,66.96,83.83,0.00,133.15,52.52
P9016,"Red blood cells, leukocytes reduced, each unit",N,F,2,18,12,13,145.50,71.00,220.00,74.50,10.05,0.10,20.00,9.95,7.82,0.00,15.63,7.82
P9016,"Red blood cells, leukocytes reduced, each unit",N,O,111,2625,899,1568,532.08,157.00,1500.00,232.02,99.47,0.05,591.30,56.99,78.16,0.00,463.56,44.76
P9020,"Platelet rich plasma, each unit",N,O,25,170,120,167,1003.01,0.01,4361.11,1248.64,480.63,0.01,1343.36,362.12,333.03,0.00,940.80,195.02
P9022,"Red blood cells, washed, each unit",N,F,1,135,114,115,25.00,25.00,25.00,0.00,0.28,0.28,0.28,0.00,0.15,0.15,0.15,0.00
P9035,"Platelets, pheresis, leukocytes reduced, each unit",N,O,41,245,94,231,1046.36,469.47,1836.00,561.69,586.11,213.04,845.90,83.73,460.26,0.00,663.19,73.33
P9037,"Platelets, pheresis, leukocytes reduced, irradiated, each unit",N,O,68,497,272,478,1631.88,565.00,1898.00,478.93,637.17,538.10,1898.00,128.81,498.84,424.74,1488.03,101.74
P9040,"Red blood cells, leukocytes reduced, irradiated, each unit",N,O,83,934,342,585,737.65,157.00,2490.00,320.64,181.58,0.05,525.04,74.21,142.88,0.00,414.40,58.51
P9041,"Infusion, albumin (human), 5%, 50 ml",Y,O,9,181,25,94,36.17,9.55,63.00,26.36,9.54,9.54,9.55,0.00,7.45,7.09,7.49,0.11
P9045,"Infusion, albumin (human), 5%, 250 ml",Y,O,26,2761,49,317,129.42,47.73,245.00,54.63,47.73,47.73,47.73,0.00,37.64,37.30,38.19,0.14
P9047,"Infusion, albumin (human), 25%, 50 ml",Y,F,3,427,23,101,83.74,36.04,196.00,10.49,68.89,36.04,69.20,3.19,53.70,28.26,55.36,2.48
P9047,"Infusion, albumin (human), 25%, 50 ml",Y,O,201,7182,574,2210,141.19,40.00,379.24,50.79,49.20,40.00,49.20,0.11,37.45,0.00,39.36,4.25
P9052,"Platelets, hla-matched leukocytes reduced, apheresis/pheresis, each unit",N,O,22,31,27,30,2363.32,1263.00,2400.00,200.89,782.48,609.48,788.25,31.59,615.10,477.83,630.60,25.35
P9053,"Platelets, pheresis, leukocytes reduced, cmv-negative, irradiated, each unit",N,O,44,193,152,181,1949.83,1947.00,2220.00,27.65,666.72,565.00,667.78,10.38,525.52,442.96,534.22,8.37
P9058,"Red blood cells, leukocytes reduced, cmv-negative, irradiated, each unit",N,O,48,303,171,194,919.40,400.50,924.00,44.58,149.05,0.10,459.52,86.69,117.32,0.00,360.22,68.25
P9603,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled,N,F,52,14719657,86932,469081,0.43,0.08,28.28,0.51,0.39,0.07,1.27,0.41,0.38,0.07,1.25,0.41
P9603,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled,N,O,301,68839540,675712,3771842,1.03,0.05,58.50,0.71,0.81,0.05,2.04,0.37,0.80,0.05,2.00,0.36
P9604,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated trip charge.,N,F,68,336610,61611,324643,4.68,1.31,65.00,5.30,3.93,1.31,20.38,2.08,3.87,1.30,20.30,2.05
P9604,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated trip charge.,N,O,1075,2951402,544158,2677545,10.34,0.06,137.34,11.76,7.77,0.06,30.30,6.55,7.65,0.06,29.74,6.45
P9612,"Catheterization for collection of specimen, single patient, all places of service",N,F,6,11,11,11,20.45,3.00,58.00,16.43,3.00,3.00,3.00,0.00,2.64,2.35,2.99,0.31
P9612,"Catheterization for collection of specimen, single patient, all places of service",N,O,1937,33934,25087,33928,24.32,1.95,350.00,41.28,3.00,1.51,3.00,0.02,2.94,0.00,3.00,0.05
P9615,Catheterization for collection of specimen (s) (multiple patients),N,F,3,159,151,159,5.16,3.56,7.36,1.86,3.00,3.00,3.00,0.00,2.96,2.94,2.97,0.01
P9615,Catheterization for collection of specimen (s) (multiple patients),N,O,108,8484,5473,8484,9.22,0.01,85.00,7.76,3.00,0.01,3.00,0.03,2.95,0.01,3.00,0.04
Q0035,Cardiokymography,N,O,10,14,14,14,32.50,0.01,61.67,20.10,17.56,0.01,25.19,6.53,11.61,0.00,19.75,6.15
Q0091,"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",N,F,6338,31852,31852,31852,59.72,0.01,290.00,36.76,18.47,0.01,25.37,1.51,18.17,0.00,24.86,1.51
Q0091,"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",N,O,61944,766370,766229,766285,67.21,0.01,1821.11,29.67,44.62,0.01,57.98,5.55,43.89,0.00,57.98,5.50
Q0092,Set-up portable x-ray equipment,N,F,144,136574,62036,118901,51.35,20.00,85.00,22.37,26.96,20.00,32.62,2.51,20.39,8.00,25.33,1.98
Q0092,Set-up portable x-ray equipment,N,O,357,1758413,822065,1481154,37.06,14.87,150.00,13.65,24.71,14.87,33.80,2.10,18.70,0.00,26.38,1.86
Q0111,"Wet mounts, including preparations of vaginal, cervical or skin specimens",N,F,28,55,53,55,18.55,5.37,58.00,12.19,5.77,5.37,5.87,0.20,4.43,0.00,5.26,0.97
Q0111,"Wet mounts, including preparations of vaginal, cervical or skin specimens",N,O,6131,44156,35824,43018,21.00,0.01,1013.00,16.54,5.79,0.01,5.87,0.21,5.67,0.00,5.87,0.27
Q0112,All potassium hydroxide (koh) preparations,N,F,22,85,79,85,31.78,9.00,51.67,11.84,5.87,5.87,5.87,0.00,4.47,0.00,5.87,0.77
Q0112,All potassium hydroxide (koh) preparations,N,O,3815,31380,27846,30822,20.13,4.00,250.00,12.45,5.68,3.83,5.87,0.50,5.56,0.00,5.87,0.52
Q0114,Fern test,N,O,21,40,38,39,25.65,10.00,100.00,14.78,9.83,9.83,9.83,0.00,9.68,9.63,9.83,0.06
